iter	Passed	Remaining
0	1	188
1	3	172
2	5	163
3	6	149
4	7	149
5	9	147
6	11	148
7	12	147
8	14	146
9	16	145
10	17	144
11	19	142
12	21	140
13	22	138
14	24	136
15	25	134
16	27	135
17	29	133
18	30	131
19	32	129
20	33	127
21	35	125
22	37	124
23	38	122
24	40	120
25	41	119
26	43	117
27	44	115
28	46	113
29	47	111
30	49	110
31	51	108
32	52	106
33	54	105
34	56	104
35	57	102
36	59	100
37	60	99
38	62	97
39	63	95
40	65	93
41	65	90
42	67	89
43	69	87
44	70	86
45	72	84
46	73	83
47	75	81
48	76	79
49	78	78
50	80	76
51	81	75
52	83	74
53	85	72
54	86	70
55	87	68
56	89	67
57	90	65
58	92	64
59	93	62
60	95	61
61	97	59
62	98	58
63	100	56
64	102	54
65	103	53
66	105	51
67	106	50
68	108	48
69	110	47
70	112	45
71	113	44
72	115	42
73	116	41
74	118	39
75	119	37
76	121	36
77	123	34
78	125	33
79	127	31
80	131	30
81	133	29
82	135	27
83	136	26
84	138	24
85	140	22
86	141	21
87	144	19
88	146	18
89	148	16
90	150	14
91	153	13
92	155	11
93	158	10
94	161	8
95	164	6
96	169	5
97	173	3
98	177	1
99	182	0
